"Recruiting
Profile",,Player,Games,Time,Events,EFG%,Pts.,Opps.,Ast,TO,TO%,Reb,OReb,DReb,Reb%,Fouls,Team Pts.,Team Pts. Allowed,#ERROR!,Off. PPP,Def. PPP,Net PPP,VPS,2 Pt Fouls,2Pt,2Pt A,2Pt Fouled,2Pt miss,2Pt Rate,2Pt%,3 Pt Fouls,3Pt,3Pt A,3Pt Fouled,3Pt miss,3Pt Rate,3Pt%,And-1 Fouls,Ast%,ATR %,ATR Att.,ATR Fouled,ATR Made,ATR Rate,ATR/A,Blk,Blk%,Blk/Foul,Blkd,Chrg,Cut,Def Foul,Def. 2Pt%,Def. 3Pt%,Def. Poss.,Def. Rtg,Def. TO,Def. TO%,Deflect,FT,FT A,FT miss,FT Trips,FT Violation,FT%,FTF,Games,LB Foul,Long Mid %,Long Mid Att.,Long Mid Fouled,Long Mid Made,Long Mid Rate,Long Mid/A,Lost Tie Up,MPG,NS Fouls,NS Fouls (Bonus),Off Foul,Off. Pace,Off. Poss.,Off. Rtg,Opp DRebs,Opp ORebs,Pace,Poss.,PPG,Short Mid %,Short Mid Att.,Short Mid Fouled,Short Mid Made,Short Mid Rate,Short Mid/A,Shots,Stl,Stl%,Stl/Foul,Tech Foul,Tie Up,TS%,Usage %
,,"#12 Jakob Pasion
Kalani High School",3,46:01:00,0,52.80%,20,19,1,4,17.40%,6,3,3,5.60%,3,57,84,-27,0.61,0.89,-0.29,0.92,0,2,6,0,4,33.30%,33.30%,0,5,12,0,7,66.70%,41.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,3,-,-,94,89.4,17,15.70%,2,1,2,1,1,0,50.00%,0.11,3,0,-,0,0,0,0.00%,0,0,15:20,0,0,0,0,94,60.6,0,0,0,0,6.7,-,0,0,0,0.00%,0,18,3,3.20%,-,0,0,53.00%,22.20%
,,"#12 Kaimi Dowling
Kahuku High School",4,53:55:00,0,12.50%,6,11,8,6,35.30%,16,3,13,15.10%,10,104,84,20,0.99,0.81,0.18,1.02,0,1,6,2,5,75.00%,16.70%,0,0,2,0,2,25.00%,0.00%,0,-,-,0,0,0,0.00%,0,3,3.40%,-,0,0,0,9,-,-,104,80.8,17,14.20%,1,4,5,1,3,0,80.00%,0.62,4,0,-,0,0,0,0.00%,0,0,13:28,0,0,1,0,105,99,0,0,0,0,1.5,-,0,0,0,0.00%,0,8,2,1.90%,-,0,1,29.40%,16.50%
,,"#12 Cooper Sundra
St. Paul VI Catholic High School",1,2:35,0,-,0,0,0,0,-,0,0,0,0.00%,0,6,2,4,1,0.33,0.67,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,0,-,-,6,33.3,3,42.90%,1,0,0,0,0,0,-,-,1,0,-,0,0,0,-,0,0,2:35,0,0,0,0,6,100,0,0,0,0,0,-,0,0,0,-,0,0,0,0.00%,-,0,0,-,0.00%
,,"#12 Nnadalu Noble
Brewster",3,33:31:00,0,77.80%,15,10,1,4,28.60%,7,2,5,11.30%,2,86,32,54,1.41,0.52,0.89,1.88,0,7,9,1,2,100.00%,77.80%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,2,4.20%,-,0,0,0,1,-,-,61,52.5,19,26.40%,1,1,2,1,1,0,50.00%,0.22,3,0,-,0,0,0,0.00%,0,0,11:10,0,0,0,0,61,141,0,0,0,0,5,-,0,0,0,0.00%,0,9,2,3.30%,-,1,0,75.90%,20.80%
,,"#12 Noah Gaudiano
Punahou School",4,1:00:10,0,60.00%,16,13,4,2,13.30%,25,8,17,20.70%,4,130,89,41,1.18,0.78,0.4,2.9,0,6,10,2,4,100.00%,60.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,2,1.90%,-,0,0,0,4,-,-,114,78.1,23,16.40%,2,4,5,1,3,0,80.00%,0.5,4,0,-,0,0,0,0.00%,0,0,15:02,0,0,0,0,110,118.2,0,0,0,0,4,-,0,0,0,0.00%,0,10,4,3.50%,-,0,0,65.60%,12.90%
,,"#12 Troy Freitas
‘Iolani School",3,15:34,0,62.50%,5,4,0,1,20.00%,3,0,3,7.50%,3,11,24,-13,0.44,0.86,-0.42,0.67,0,1,2,0,1,50.00%,50.00%,0,1,2,0,1,50.00%,50.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,3,-,-,28,85.7,3,9.40%,0,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,5:11,0,0,0,0,25,44,0,0,0,0,1.7,-,0,0,0,0.00%,0,4,0,0.00%,-,0,1,62.50%,15.20%
,,"#12 Yuto Suzuki
Osaka Gakuin University Senior H",3,10:41,0,50.00%,4,4,0,1,20.00%,0,0,0,0.00%,1,11,13,-2,0.55,0.65,-0.1,0.75,0,2,3,0,1,75.00%,66.70%,0,0,1,0,1,25.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,20,65,7,23.30%,1,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,3:33,0,0,0,0,20,55,0,0,0,0,1.3,-,0,0,0,0.00%,0,4,1,5.00%,-,0,0,50.00%,16.70%
,,"#12 Whitfield Ching, Jr.
Veritas Academy",4,44:56:00,0,66.70%,15,11,4,4,26.70%,10,2,8,12.20%,8,75,86,-11,0.88,0.98,-0.09,1.12,0,3,5,2,2,55.60%,60.00%,0,2,4,0,2,44.40%,50.00%,0,-,-,0,0,0,0.00%,0,1,1.40%,-,0,0,0,7,-,-,88,97.7,19,17.80%,3,3,4,1,2,0,75.00%,0.44,4,1,-,0,0,0,0.00%,0,0,11:14,0,0,0,0,85,88.2,0,0,0,0,3.8,-,0,0,0,0.00%,0,9,1,1.10%,-,0,1,69.70%,15.90%
,,"#12 Cain Kahahawai
Kamehameha Schools Kapalama",2,21:35,0,56.20%,10,9,1,1,10.00%,4,0,4,10.30%,2,44,30,14,1.02,0.73,0.29,1.43,0,3,4,0,1,50.00%,75.00%,0,1,4,0,3,50.00%,25.00%,0,-,-,0,0,0,0.00%,0,2,5.90%,-,0,0,0,2,-,-,41,73.2,12,22.60%,0,1,1,0,1,0,100.00%,0.12,2,0,-,0,0,0,0.00%,0,0,10:47,0,0,0,0,43,102.3,0,0,0,0,5,-,0,0,0,0.00%,0,8,0,0.00%,-,0,0,59.20%,20.80%
,,"#12 Trey Ambrozich
University Laboratory School",4,1:53:28,0,49.00%,58,55,9,12,17.90%,38,13,25,18.10%,5,182,209,-27,0.85,0.99,-0.13,1.64,0,19,37,3,18,77.10%,51.40%,0,3,11,0,8,22.90%,27.30%,0,-,-,0,0,0,0.00%,0,8,4.30%,-,0,0,0,3,-,-,212,98.6,42,16.70%,5,11,13,2,7,0,84.60%,0.27,4,2,-,0,0,0,0.00%,0,0,28:22:00,0,0,0,0,213,85.4,0,0,0,0,14.5,-,0,0,0,0.00%,0,48,7,3.30%,-,0,0,54.00%,29.20%
,,"#13 Koa Laboy
University Laboratory School",4,1:54:40,0,54.80%,39,35,8,12,25.50%,23,5,18,11.10%,8,184,195,-11,0.88,0.93,-0.05,1.29,0,17,31,0,14,100.00%,54.80%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,3,1.60%,-,0,1,0,7,-,-,210,92.9,43,17.40%,4,5,7,2,4,0,71.40%,0.23,4,0,-,0,0,0,0.00%,0,0,28:40:00,0,0,1,0,209,88,0,0,0,0,9.8,-,0,0,0,0.00%,0,31,2,1.00%,-,0,0,57.20%,20.60%
,,"#13 Wataru Tamura
Osaka Gakuin University Senior H",4,24:54:00,0,87.50%,7,4,1,5,55.60%,2,0,2,4.00%,4,31,35,-4,0.63,0.73,-0.1,0.75,0,2,3,0,1,75.00%,66.70%,0,1,1,0,0,25.00%,100.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,48,72.9,16,26.70%,2,0,0,0,0,0,-,0,4,1,-,0,0,0,0.00%,0,0,6:13,0,0,1,0,49,63.3,0,0,0,0,1.8,-,0,0,0,0.00%,0,4,2,4.20%,-,0,0,87.50%,15.00%
,,"#13 Preston Fowler
Brewster",4,1:33:03,0,55.10%,46,41,10,2,4.70%,30,10,20,19.10%,8,180,122,58,1.11,0.75,0.36,1.9,0,17,26,1,9,66.70%,65.40%,0,3,13,0,10,33.30%,23.10%,0,-,-,0,0,0,0.00%,0,1,0.90%,-,0,0,0,7,-,-,162,75.3,44,24.90%,2,3,4,1,2,0,75.00%,0.1,4,0,-,0,0,0,0.00%,0,0,23:15,0,0,1,0,162,111.1,0,0,0,0,11.5,-,0,0,0,0.00%,0,39,7,4.30%,-,0,0,56.40%,25.10%
,,"#13 Makai Barr
Kamehameha Schools Kapalama",4,1:41:16,0,67.20%,46,39,18,8,17.00%,8,0,8,4.20%,7,186,205,-19,0.94,1.04,-0.1,1.9,0,17,24,2,7,75.00%,70.80%,0,3,8,0,5,25.00%,37.50%,0,-,-,0,0,0,0.00%,0,1,0.60%,-,0,0,0,6,-,-,198,103.5,48,19.80%,9,3,11,8,7,0,27.30%,0.34,4,0,-,0,0,0,0.00%,0,0,25:19:00,0,0,1,0,198,93.9,0,0,0,0,11.5,-,0,0,0,0.00%,0,32,13,6.60%,-,0,0,62.40%,22.30%
,,"#13 Aidan Wong
‘Iolani School",4,1:45:40,0,34.50%,45,59,14,8,11.90%,6,1,5,3.10%,6,173,209,-36,0.88,1.09,-0.21,0.92,0,13,40,4,27,72.70%,32.50%,0,4,15,0,11,27.30%,26.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,191,109.4,43,19.20%,7,7,8,1,4,0,87.50%,0.15,4,0,-,0,0,0,0.00%,0,0,26:25:00,0,0,0,0,196,88.3,0,0,0,0,11.2,-,0,0,0,0.00%,0,55,9,4.70%,-,0,0,38.40%,31.10%
,,"#13 Dorian Starks
Wheeler High School (GA)",1,14:40,0,85.70%,12,7,1,0,0.00%,2,1,1,7.10%,1,46,17,29,1.53,0.55,0.98,3.67,0,3,4,0,1,57.10%,75.00%,0,2,3,0,1,42.90%,66.70%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,31,54.8,15,40.50%,0,0,0,0,0,0,-,0,1,0,-,0,0,0,0.00%,0,0,14:40,0,0,0,0,30,153.3,0,0,0,0,12,-,0,0,0,0.00%,0,7,3,9.70%,-,0,0,85.70%,18.90%
,,"#13 Kevin Benson III
Imhotep Institute Charter High S",4,1:06:42,0,40.60%,16,18,3,5,21.70%,4,1,3,3.10%,6,133,136,-3,0.94,0.97,-0.03,0.71,0,5,8,2,3,50.00%,62.50%,0,1,8,0,7,50.00%,12.50%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,140,97.1,38,24.50%,3,3,3,0,2,0,100.00%,0.19,4,2,-,0,0,0,0.00%,0,0,16:40,0,0,0,0,142,93.7,0,0,0,0,4,-,0,0,0,0.00%,0,16,2,1.40%,-,0,0,46.20%,16.10%
,,"#13 Jaquan Womack
St. Paul VI Catholic High School",4,1:42:20,0,47.30%,45,45,13,6,11.80%,26,6,20,14.40%,6,209,177,32,1.16,0.98,0.18,1.47,0,10,23,5,13,62.20%,43.50%,0,5,14,1,9,37.80%,35.70%,0,-,-,0,0,0,0.00%,0,1,0.70%,-,0,0,0,5,-,-,181,97.8,42,20.10%,6,10,16,6,8,0,62.50%,0.43,4,0,-,0,0,0,0.00%,0,1,25:35:00,0,0,1,0,180,116.1,0,0,0,0,11.2,-,0,0,0,0.00%,0,37,5,2.80%,-,0,0,51.10%,28.40%
,,"#13 Samuel Mena
Veritas Academy",4,29:42:00,0,0.00%,0,1,4,2,66.70%,3,0,3,5.40%,5,54,39,15,0.96,0.66,0.3,0.69,0,0,1,0,1,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,59,66.1,13,20.00%,1,0,0,0,0,0,-,0,4,1,-,0,0,0,0.00%,0,0,7:25,0,0,0,0,56,96.4,0,0,0,0,0,-,0,0,0,0.00%,0,1,0,0.00%,-,0,0,0.00%,4.60%
,,"#14 Mansur Mcclain
Wheeler High School (GA)",4,1:38:08,0,42.90%,35,35,11,7,16.70%,21,1,20,11.90%,11,205,164,41,1.08,0.87,0.22,1.23,0,9,17,5,8,60.70%,52.90%,0,2,11,0,9,39.30%,18.20%,0,-,-,0,0,0,0.00%,0,1,0.60%,-,0,0,0,8,-,-,189,86.8,48,21.40%,4,11,14,3,7,0,78.60%,0.5,4,1,-,0,0,0,0.00%,0,1,24:32:00,0,0,2,0,189,108.5,0,0,0,0,8.8,-,0,0,0,0.00%,0,28,5,2.60%,-,0,3,51.20%,22.00%
,,"#14 Kaumaka Olson
Kamehameha Schools Kapalama",1,6:12,0,0.00%,0,1,0,0,0.00%,0,0,0,0.00%,0,7,14,-7,0.58,1.17,-0.58,0,0,0,1,0,1,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,12,116.7,2,11.10%,1,0,0,0,0,0,-,0,1,0,-,0,0,0,0.00%,0,0,6:12,0,0,0,0,12,58.3,0,0,0,0,0,-,0,0,0,0.00%,0,1,0,0.00%,-,0,0,0.00%,5.60%
,,"#14 Micah Lile
‘Iolani School",3,14:11,0,0.00%,0,6,1,1,14.30%,0,0,0,0.00%,0,9,25,-16,0.41,0.96,-0.55,0.29,0,0,3,0,3,50.00%,0.00%,0,0,3,0,3,50.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,26,96.2,7,21.90%,0,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,4:43,0,0,0,0,22,40.9,0,0,0,0,0,-,0,0,0,0.00%,0,6,1,3.80%,-,0,0,0.00%,21.90%
,,"#14 Ginjiro Horatani
Osaka Gakuin University Senior H",3,9:51,0,66.70%,4,3,1,1,25.00%,3,0,3,15.80%,1,24,15,9,1.2,0.75,0.45,1.83,0,2,2,0,0,66.70%,100.00%,0,0,1,0,1,33.30%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,20,75,7,31.80%,1,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,3:17,0,0,0,0,20,120,0,0,0,0,1.3,-,0,0,0,0.00%,0,3,1,5.00%,-,0,0,66.70%,18.20%
,,"#14 Ronin Naihe
Kahuku High School",4,1:56:12,0,46.70%,73,72,4,15,17.20%,9,4,5,4.70%,6,201,251,-50,0.93,1.16,-0.23,0.92,0,19,41,5,22,68.30%,46.30%,0,6,19,1,13,31.70%,31.60%,0,-,-,0,0,0,0.00%,0,3,1.60%,-,0,0,0,6,-,-,217,115.7,39,14.70%,4,17,22,5,12,0,77.30%,0.37,4,0,-,0,0,0,0.00%,0,0,29:03:00,0,0,0,0,216,93.1,0,0,0,0,18.2,-,0,0,0,0.00%,0,60,6,2.80%,-,0,0,52.40%,36.90%
,,"#14 Jacob Moore
St. Paul VI Catholic High School",4,1:11:05,0,60.70%,20,16,3,2,11.10%,11,7,4,8.90%,7,135,118,17,1.11,0.98,0.12,1.63,0,7,9,1,2,64.30%,77.80%,0,1,5,0,4,35.70%,20.00%,0,-,-,0,0,0,0.00%,0,2,2.00%,-,0,0,0,6,-,-,120,98.3,23,16.90%,2,3,3,0,2,0,100.00%,0.21,4,0,-,0,0,0,0.00%,0,0,17:46,0,0,1,0,122,110.7,0,0,0,0,5,-,0,0,0,0.00%,0,14,4,3.30%,-,0,0,65.30%,14.30%
,,"#15 Hayzn Botelho
Kamehameha Schools Kapalama",2,16:55,0,25.00%,3,5,1,4,44.40%,4,0,4,11.80%,2,21,47,-26,0.57,1.24,-0.67,0.58,0,1,4,0,3,100.00%,25.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,38,123.7,8,17.80%,2,1,2,1,1,0,50.00%,0.5,2,0,-,0,0,0,0.00%,0,0,8:27,0,0,1,0,37,56.8,0,0,0,0,1.5,-,0,0,0,0.00%,0,4,1,2.60%,-,0,0,30.70%,22.20%
,,"#15 Cole Perez
St. Paul VI Catholic High School",1,2:35,0,0.00%,0,1,2,0,0.00%,0,0,0,0.00%,0,6,2,4,1,0.33,0.67,2,0,0,1,0,1,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,6,33.3,3,42.90%,0,0,0,0,0,0,-,0,1,0,-,0,0,0,0.00%,0,0,2:35,0,0,0,0,6,100,0,0,0,0,0,-,0,0,0,0.00%,0,1,0,0.00%,-,0,0,0.00%,14.30%
,,"#15 Renji Iwasaki
Osaka Gakuin University Senior H",4,59:38:00,0,43.80%,14,16,1,5,23.80%,7,2,5,5.50%,12,75,101,-26,0.68,0.89,-0.21,0.76,0,4,10,0,6,62.50%,40.00%,0,2,6,0,4,37.50%,33.30%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,11,-,-,114,88.6,34,25.40%,6,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,14:54,0,0,1,0,111,67.6,0,0,0,0,3.5,-,0,0,0,0.00%,0,16,9,7.90%,-,0,0,43.80%,15.40%
,,"#15 Raymon Teocson
‘Iolani School",4,1:26:49,0,8.30%,6,20,4,4,16.70%,11,3,8,6.60%,7,142,154,-12,0.89,0.99,-0.09,0.68,0,0,8,2,8,44.40%,0.00%,0,1,10,0,9,55.60%,10.00%,0,-,-,0,0,0,0.00%,0,1,0.80%,-,0,0,0,7,-,-,156,98.7,36,19.70%,3,3,4,1,2,0,75.00%,0.22,4,0,-,0,0,0,0.00%,0,0,21:42,0,0,0,0,159,89.3,0,0,0,0,1.5,-,0,0,0,0.00%,0,18,6,3.80%,-,0,1,15.20%,13.90%
,,"#15 Noah Feinga
Kahuku High School",4,1:25:31,0,80.00%,9,6,4,3,33.30%,8,2,6,6.10%,11,132,186,-54,0.88,1.21,-0.33,1.13,0,4,4,1,0,80.00%,100.00%,0,0,1,0,1,20.00%,0.00%,0,-,-,0,0,0,0.00%,0,2,1.60%,-,0,0,0,10,-,-,154,120.8,30,16.60%,1,1,2,1,1,1,50.00%,0.4,4,0,-,0,0,0,0.00%,0,0,21:22,0,0,1,0,150,88,0,0,0,0,2.2,-,0,0,0,0.00%,0,5,3,1.90%,-,0,0,76.50%,5.40%
,,"#15 Zach Ranos
Leilehua",3,1:15:35,0,35.30%,15,19,4,3,13.60%,11,2,9,7.60%,2,119,126,-7,0.87,0.93,-0.06,1.14,0,3,7,2,4,41.20%,42.90%,0,2,10,0,8,58.80%,20.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,136,92.6,32,19.00%,4,3,4,1,2,0,75.00%,0.24,3,0,-,0,0,0,0.00%,0,0,25:11:00,0,0,0,0,137,86.9,0,0,0,0,5,-,0,0,0,0.00%,0,17,3,2.20%,-,0,0,40.00%,14.30%
,,"#16 Ryota Takehara
Osaka Gakuin University Senior H",4,40:15:00,0,29.40%,12,20,0,2,9.10%,8,2,6,9.60%,2,61,68,-7,0.76,0.83,-0.07,0.76,0,2,8,1,6,47.10%,25.00%,0,2,9,1,7,52.90%,22.20%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,82,82.9,32,36.40%,4,2,5,3,3,0,40.00%,0.29,4,0,-,0,0,0,0.00%,0,0,10:03,0,0,0,0,80,76.2,0,0,0,0,3,-,0,0,0,0.00%,0,17,4,4.90%,-,0,0,31.20%,28.10%
,,"#17 Kaito Kawai
Osaka Gakuin University Senior H",4,24:57:00,0,0.00%,1,11,2,0,0.00%,0,0,0,0.00%,4,40,43,-3,0.78,0.8,-0.01,0.38,0,0,3,1,3,30.00%,0.00%,0,0,7,0,7,70.00%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,54,79.6,20,33.30%,0,1,2,1,1,0,50.00%,0.2,4,0,-,0,0,0,0.00%,0,0,6:14,0,0,0,0,51,78.4,0,0,0,0,0.2,-,0,0,0,0.00%,0,10,3,5.60%,-,0,0,4.60%,19.70%
,,"#18 Yushin Tada
Osaka Gakuin University Senior H",2,6:14,0,0.00%,0,2,2,0,0.00%,2,2,0,10.50%,0,14,11,3,1,0.79,0.21,1.5,0,0,2,0,2,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,0,-,-,14,78.6,3,17.60%,0,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,3:07,0,0,0,0,14,100,0,0,0,0,0,-,0,0,0,0.00%,0,2,0,0.00%,-,0,0,0.00%,11.80%
,,"#19 Sekai Yamanaka
Osaka Gakuin University Senior H",3,6:06,0,0.00%,0,2,2,1,33.30%,0,0,0,0.00%,2,7,8,-1,0.7,0.8,-0.1,0.8,0,0,2,0,2,100.00%,0.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,1,7.70%,-,0,0,0,2,-,-,10,80,2,13.30%,0,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,2:02,0,0,0,0,10,70,0,0,0,0,0,-,0,0,0,0.00%,0,2,1,10.00%,-,0,0,0.00%,20.00%
,,"#20 Talasi Henderson
Imhotep Institute Charter High S",4,1:10:14,0,67.60%,26,19,2,3,13.60%,8,5,3,6.20%,12,142,131,11,0.99,0.93,0.06,1.02,0,10,14,1,4,82.40%,71.40%,0,1,3,0,2,17.60%,33.30%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,7,-,-,141,92.9,39,24.20%,3,3,4,1,2,0,75.00%,0.24,4,3,-,0,0,0,0.00%,0,0,17:33,0,0,2,0,143,99.3,0,0,0,0,6.5,-,0,0,0,0.00%,0,17,3,2.10%,-,0,0,69.30%,14.90%
,,"#20 Chauncey Ako
Kahuku High School",1,0:19,0,-,0,0,0,0,-,0,0,0,0.00%,0,1,2,-1,1,1,0,0,0,0,0,0,0,-,-,0,0,0,0,0,-,-,0,-,-,0,0,0,-,0,0,0.00%,-,0,0,0,0,-,-,2,100,1,50.00%,0,0,0,0,0,0,-,-,1,0,-,0,0,0,-,0,0,0:19,0,0,0,0,1,100,0,0,0,0,0,-,0,0,0,-,0,0,0,0.00%,-,0,0,-,0.00%
,,"#20 Dash Watanabe
Punahou School",4,1:19:23,0,55.00%,23,21,13,5,19.20%,17,5,12,11.70%,3,159,141,18,1.06,0.94,0.12,2.16,0,8,13,1,5,65.00%,61.50%,0,2,7,0,5,35.00%,28.60%,0,-,-,0,0,0,0.00%,0,3,2.30%,-,0,0,0,3,-,-,150,94,36,19.70%,5,1,2,1,1,0,50.00%,0.1,4,0,-,0,0,0,0.00%,0,0,19:50,0,0,0,0,150,106,0,0,0,0,5.8,-,0,0,0,0.00%,0,20,4,2.70%,-,0,0,55.10%,14.60%
,,"#20 Eisley Valdez
Kamehameha Schools Kapalama",2,17:57,0,60.00%,6,5,3,1,16.70%,3,1,2,7.90%,1,37,24,13,1,0.65,0.35,2.38,0,3,5,0,2,100.00%,60.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,1,2.90%,-,0,0,0,1,-,-,37,64.9,8,16.30%,1,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,8:58,0,0,0,0,37,100,0,0,0,0,3,-,0,0,0,0.00%,0,5,1,2.70%,-,0,0,60.00%,12.20%
,,"#20 Ayden Goo
‘Iolani School",4,1:51:46,0,48.20%,61,60,4,11,15.50%,16,3,13,8.10%,12,183,234,-51,0.88,1.15,-0.27,1.02,0,3,16,4,13,28.60%,18.80%,0,16,40,0,24,71.40%,40.00%,0,-,-,0,0,0,0.00%,0,6,3.60%,-,0,1,0,12,-,-,204,114.7,50,20.70%,5,7,8,1,4,0,87.50%,0.14,4,0,-,0,0,0,0.00%,0,0,27:56:00,0,0,0,0,208,88,0,0,0,0,15.2,-,0,0,0,0.00%,0,56,12,5.90%,-,0,1,51.20%,30.60%
,,"#20 Jundai Yamada
Osaka Gakuin University Senior H",3,8:17,0,83.30%,5,3,1,1,25.00%,2,1,1,11.80%,1,18,14,4,1.2,0.88,0.32,1.5,0,1,1,0,0,33.30%,100.00%,0,1,2,0,1,66.70%,50.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,1,-,-,16,87.5,5,23.80%,1,0,0,0,0,0,-,0,3,0,-,0,0,0,0.00%,0,0,2:45,0,0,0,0,15,120,0,0,0,0,1.7,-,0,0,0,0.00%,0,3,0,0.00%,-,0,0,83.30%,19.00%
,,"#21 Ambrose Smith
‘Iolani School",4,30:49:00,0,14.30%,2,7,0,1,12.50%,6,3,3,11.50%,3,45,80,-35,0.9,1.48,-0.58,0.4,0,1,6,0,5,85.70%,16.70%,0,0,1,0,1,14.30%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,2,-,-,54,148.1,7,10.40%,0,0,0,0,0,0,-,0,4,0,-,0,0,0,0.00%,0,0,7:42,0,0,0,0,50,90,0,0,0,0,0.5,-,0,0,0,0.00%,0,7,0,0.00%,-,1,0,14.30%,11.90%
,,"#21 Rezon Harris, Jr.
Imhotep Institute Charter High S",2,5:41,0,50.00%,3,3,0,0,0.00%,0,0,0,0.00%,1,7,14,-7,0.64,1.27,-0.64,1.17,0,0,0,0,0,0.00%,-,0,1,3,0,2,100.00%,33.30%,0,-,-,0,0,0,0.00%,0,1,12.50%,-,0,0,0,1,-,-,11,127.3,2,15.40%,0,0,0,0,0,0,-,0,2,0,-,0,0,0,0.00%,0,0,2:50,0,0,0,0,11,63.6,0,0,0,0,1.5,-,0,0,0,0.00%,0,3,1,9.10%,-,0,0,50.00%,23.10%
,,"#21 Haruto Funatani
Osaka Gakuin University Senior H",4,1:07:34,0,25.00%,14,28,4,3,9.70%,10,4,6,7.20%,7,87,101,-14,0.67,0.79,-0.11,0.71,0,7,19,0,12,67.90%,36.80%,0,0,9,0,9,32.10%,0.00%,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,6,-,-,128,78.9,42,28.40%,8,0,0,0,0,0,-,0,4,1,-,0,0,0,0.00%,0,0,16:53,0,0,0,0,129,67.4,0,0,0,0,3.5,-,0,0,0,0.00%,0,28,6,4.70%,-,0,2,25.00%,20.70%
,,"#21 Zion White
Punahou School",2,44:34:00,0,43.80%,19,19,7,17,47.20%,16,5,11,20.30%,6,79,91,-12,0.91,1.06,-0.15,0.94,0,7,15,1,8,93.80%,46.70%,0,0,1,0,1,6.20%,0.00%,0,-,-,0,0,0,0.00%,0,4,4.90%,-,0,0,0,5,-,-,86,105.8,17,15.70%,3,5,6,1,3,0,83.30%,0.38,2,0,-,0,0,0,0.00%,0,0,22:17,0,0,1,0,87,90.8,0,0,0,0,9.5,-,0,0,0,0.00%,0,16,2,2.30%,-,0,1,51.00%,35.50%
,,"#21 Jean Victor Ndiaye
Oak Hill Academy",2,8:09,0,60.00%,10,8,0,2,20.00%,4,1,3,19.00%,4,21,26,-5,0.88,1.04,-0.17,0.89,0,3,5,1,2,100.00%,60.00%,0,0,0,0,0,0.00%,-,0,-,-,0,0,0,0.00%,0,0,0.00%,-,0,0,0,4,-,-,25,104,4,13.30%,0,4,6,2,3,0,66.70%,1.2,2,0,-,0,0,0,0.00%,0,0,4:04,0,0,0,0,24,87.5,0,0,0,0,5,-,0,0,0,0.00%,0,5,1,4.00%,-,0,0,65.40%,43.30%
